,Linear,Dropout,GELUActivation,LayerNorm,Conv1d,_WeightNorm,ParametrizationList,Wav2Vec2FeedForward,Wav2Vec2NoLayerNormConvLayer,WhisperSdpaAttention
63,384,62,22,25,9,7,7,12,6,0
64,84,62,39,25,9,7,7,12,6,0
65,84,62,39,25,9,7,7,12,6,0
66,84,62,39,25,9,7,7,12,6,0
67,84,62,39,8,9,7,7,12,6,0
68,84,62,39,25,9,7,7,12,6,0
69,84,20,39,25,2,7,7,12,6,0
70,84,62,22,8,9,7,7,12,6,0
71,14,62,39,8,9,7,7,12,6,0
72,84,74,39,8,9,7,7,12,6,0
73,14,74,40,25,9,7,7,12,6,0
74,14,74,40,25,9,7,7,12,6,0
75,72,62,40,25,9,7,7,12,6,0
76,72,62,39,25,9,7,7,12,6,0
77,84,25,39,25,9,7,7,0,0,0
78,192,62,12,5,9,7,7,0,0,0
79,14,62,39,122,9,7,7,0,0,0
80,84,12,39,8,9,7,7,0,0,0
81,84,74,19,25,9,7,7,0,0,0
82,84,62,48,25,9,7,7,0,0,0
83,84,62,40,8,9,7,7,0,0,0
84,84,74,39,45,9,7,7,0,0,0
85,84,62,39,25,9,7,7,0,0,0
86,84,62,40,8,2,7,7,0,0,0
87,84,74,40,25,9,7,7,0,0,0
88,84,62,39,25,9,7,7,0,0,0
89,14,62,40,25,9,7,7,0,0,0
90,84,62,39,5,9,7,7,0,0,0
91,36,12,39,25,9,7,7,0,0,0
92,84,62,39,5,9,7,7,0,0,0
93,84,12,19,5,9,7,7,0,0,0
94,14,12,39,25,9,7,7,0,0,0
95,84,25,19,25,9,7,7,0,0,0
96,84,25,19,25,9,7,7,0,0,0
97,84,62,12,8,9,7,7,0,0,0
98,84,74,12,62,9,7,7,0,0,0
99,84,12,39,5,9,7,7,0,0,0
100,84,74,40,8,9,7,7,0,0,0
101,72,62,24,25,9,7,7,0,0,0
102,72,62,19,25,9,7,7,0,0,0
103,84,62,40,25,9,7,7,0,0,0
104,84,62,39,25,9,7,7,0,0,0
105,84,20,39,8,9,7,7,0,0,0
106,84,74,39,8,9,7,7,0,0,0
107,512,62,39,25,9,7,7,0,0,0
108,72,62,22,25,9,7,7,0,0,0
109,84,62,40,25,9,7,7,0,0,0
110,36,62,39,25,9,7,7,0,0,0
111,84,62,39,25,9,7,7,0,0,0
112,84,12,39,5,9,7,7,0,0,0
113,14,74,39,8,9,7,7,0,0,0
114,84,62,39,25,9,7,7,0,0,0
115,84,13,19,13,9,7,7,0,0,0
116,84,62,40,25,9,7,7,0,0,0
117,72,62,39,25,9,7,7,0,0,0
118,158,12,6,5,9,7,7,0,0,0
119,14,62,39,25,9,7,7,0,0,0
120,84,62,39,25,2,7,7,0,0,0
121,14,62,19,25,9,7,7,0,0,0
122,84,74,39,8,9,7,7,0,0,0
123,84,62,39,25,9,7,7,0,0,0
124,128,74,39,8,9,7,7,0,0,0
125,84,62,40,25,9,7,7,0,0,0
126,84,62,39,25,9,6,6,0,0,0
127,0,25,40,25,9,7,7,0,0,0
128,0,25,39,25,9,7,7,0,0,0
129,0,62,39,25,9,7,7,0,0,0
130,0,62,12,25,9,7,7,0,0,0
131,0,62,12,25,9,7,7,0,0,0
132,0,62,39,25,9,7,7,0,0,0
133,0,74,39,8,9,7,7,0,0,0
134,0,74,39,8,9,7,7,0,0,0
135,0,25,39,162,9,0,0,0,0,0
136,0,62,40,25,9,0,0,0,0,0
137,0,13,40,25,9,0,0,0,0,0
138,0,74,64,13,32,0,0,0,0,0
139,0,62,12,8,9,0,0,0,0,0
140,0,62,39,25,9,0,0,0,0,0
141,0,74,6,25,0,0,0,0,0,0
142,0,12,40,8,0,0,0,0,0,0
143,0,62,39,5,0,0,0,0,0,0
144,0,62,39,25,0,0,0,0,0,0
145,0,62,40,25,0,0,0,0,0,0
146,0,146,19,25,0,0,0,0,0,0
147,0,25,39,8,0,0,0,0,0,0
148,0,163,39,25,0,0,0,0,0,0
149,0,12,39,107,0,0,0,0,0,0
150,0,146,64,5,0,0,0,0,0,0
151,0,62,12,8,0,0,0,0,0,0
152,0,12,89,25,0,0,0,0,0,0
153,0,62,19,5,0,0,0,0,0,0
154,0,62,64,25,0,0,0,0,0,0
155,0,62,39,25,0,0,0,0,0,0
156,0,62,19,25,0,0,0,0,0,0
157,0,0,39,25,0,0,0,0,0,0
158,0,0,39,0,0,0,0,0,0,0
159,0,0,39,0,0,0,0,0,0,0
160,0,0,39,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0
